requirement,sub_requirement,control_description,input_text,label,score,reason
6,6.1,Processesandmechanismsfordevelopingandmaintainingsecuresystemsandsoftwarearedefinedandunderstood.,No documented process exists for processesandmechanismsfordevelopingandmaintainingsecuresystemsandsoftwarearedefinedandunderstood..,Non-Compliant,1,Control not implemented or documented.
6,6.1,Processesandmechanismsfordevelopingandmaintainingsecuresystemsandsoftwarearedefinedandunderstood.,"A partial process exists for processesandmechanismsfordevelopingandmaintainingsecuresystemsandsoftwarearedefinedandunderstood., but it is inconsistently applied.",Partially Compliant,3,Control partially implemented.
6,6.1,Processesandmechanismsfordevelopingandmaintainingsecuresystemsandsoftwarearedefinedandunderstood.,"A formal, documented, and enforced process exists for processesandmechanismsfordevelopingandmaintainingsecuresystemsandsoftwarearedefinedandunderstood..",Compliant,5,Control fully implemented and documented.
6,6.2,Bespokeandcustomsoftwarearedevelopedsecurely.,No documented process exists for bespokeandcustomsoftwarearedevelopedsecurely..,Non-Compliant,1,Control not implemented or documented.
6,6.2,Bespokeandcustomsoftwarearedevelopedsecurely.,"A partial process exists for bespokeandcustomsoftwarearedevelopedsecurely., but it is inconsistently applied.",Partially Compliant,3,Control partially implemented.
6,6.2,Bespokeandcustomsoftwarearedevelopedsecurely.,"A formal, documented, and enforced process exists for bespokeandcustomsoftwarearedevelopedsecurely..",Compliant,5,Control fully implemented and documented.
6,6.3,Securityvulnerabilitiesareidentifiedandaddressed.,No documented process exists for securityvulnerabilitiesareidentifiedandaddressed..,Non-Compliant,1,Control not implemented or documented.
6,6.3,Securityvulnerabilitiesareidentifiedandaddressed.,"A partial process exists for securityvulnerabilitiesareidentifiedandaddressed., but it is inconsistently applied.",Partially Compliant,3,Control partially implemented.
6,6.3,Securityvulnerabilitiesareidentifiedandaddressed.,"A formal, documented, and enforced process exists for securityvulnerabilitiesareidentifiedandaddressed..",Compliant,5,Control fully implemented and documented.
6,6.4,Public-facingwebapplicationsareprotectedagainstattacks.,No documented process exists for public-facingwebapplicationsareprotectedagainstattacks..,Non-Compliant,1,Control not implemented or documented.
6,6.4,Public-facingwebapplicationsareprotectedagainstattacks.,"A partial process exists for public-facingwebapplicationsareprotectedagainstattacks., but it is inconsistently applied.",Partially Compliant,3,Control partially implemented.
6,6.4,Public-facingwebapplicationsareprotectedagainstattacks.,"A formal, documented, and enforced process exists for public-facingwebapplicationsareprotectedagainstattacks..",Compliant,5,Control fully implemented and documented.
6,6.5,Changestoallsystemcomponentsaremanagedsecurely.,No documented process exists for changestoallsystemcomponentsaremanagedsecurely..,Non-Compliant,1,Control not implemented or documented.
6,6.5,Changestoallsystemcomponentsaremanagedsecurely.,"A partial process exists for changestoallsystemcomponentsaremanagedsecurely., but it is inconsistently applied.",Partially Compliant,3,Control partially implemented.
6,6.5,Changestoallsystemcomponentsaremanagedsecurely.,"A formal, documented, and enforced process exists for changestoallsystemcomponentsaremanagedsecurely..",Compliant,5,Control fully implemented and documented.
